Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),date,hour
-3.5,83.0,997.0,0.9,16.0,3.7,9.3,,nõrk lumi,,0.0,22.2,31.01.2022,19
-3.6,86.0,997.2,0.7,11.0,3.5,6.8,10.0,nõrk lumi,nõrk lumi,0.0,22.4,31.01.2022,20
-3.6,85.0,997.5,0.9,360.0,2.8,7.3,,nõrk lumi,,0.0,28.3,31.01.2022,21
-3.6,86.0,997.8,0.8,7.0,2.8,6.8,,nõrk lumi,,0.0,27.5,31.01.2022,22
-3.8,86.0,997.6,0.4,12.0,3.7,7.9,10.0,nõrk lumi,nõrk lumi,0.0,5.6,31.01.2022,23
-3.8,86.0,997.7,0.2,12.0,2.7,5.9,,nõrk lumi,,0.2,17.7,01.02.2022,0
-3.8,86.0,997.5,-0.3,12.0,2.7,5.9,,nõrk lumi,,0.0,22.5,01.02.2022,1
-3.9,86.0,997.7,0.1,18.0,2.4,5.2,10.0,nõrk hooglumi,nõrk lumi,0.0,27.1,01.02.2022,2
-3.9,86.0,997.8,0.1,1.0,1.9,4.5,,nõrk hooglumi,,0.0,29.6,01.02.2022,3
-4.1,86.0,997.9,0.4,340.0,1.9,4.6,,nõrk hooglumi,,0.0,23.4,01.02.2022,4
-4.3,87.0,997.8,0.1,353.0,1.7,4.0,10.0,nõrk lumi,nõrk hooglumi,0.0,10.8,01.02.2022,5
-4.5,87.0,997.5,-0.3,349.0,1.4,3.7,,nõrk lumi,,0.0,16.6,01.02.2022,6
-4.6,88.0,997.3,-0.6,349.0,1.5,4.1,,nõrk lumi,,0.0,22.1,01.02.2022,7
-4.7,87.0,997.3,-0.5,331.0,1.4,3.3,10.0,nõrk lumi,hooglumi,0.0,21.0,01.02.2022,8
-4.8,89.0,997.2,-0.3,343.0,1.3,2.5,,nõrk lumi,,0.0,14.8,01.02.2022,9
-4.8,88.0,996.9,-0.4,327.0,1.2,2.4,,nõrk lumi,,0.0,10.1,01.02.2022,10
-4.7,88.0,996.7,-0.6,338.0,1.1,2.2,10.0,nõrk lumi,nõrk hooglumi,0.0,9.4,01.02.2022,11
-4.4,87.0,996.4,-0.8,299.0,0.7,2.5,,nõrk lumi,,0.1,5.3,01.02.2022,12
-4.5,89.0,996.1,-0.8,294.0,1.3,2.6,,nõrk lumi,,0.3,3.0,01.02.2022,13
-4.5,89.0,995.8,-0.9,300.0,1.6,3.3,10.0,nõrk lumi,nõrk hooglumi,0.2,4.8,01.02.2022,14
-4.5,88.0,995.6,-0.8,302.0,1.0,3.0,,nõrk lumi,,0.1,5.8,01.02.2022,15
-4.9,90.0,995.6,-0.5,258.0,1.6,2.6,,nõrk lumi,,0.1,6.7,01.02.2022,16
-5.2,88.0,995.4,-0.4,265.0,1.7,3.6,10.0,nõrk lumi,nõrk lumi,0.1,14.8,01.02.2022,17
-5.4,89.0,995.1,-0.5,251.0,1.5,2.5,,lumi,,0.0,19.1,01.02.2022,18
-5.6,88.0,995.1,-0.5,224.0,1.2,2.2,,nähtusteta,,0.0,25.8,01.02.2022,19
-5.7,87.0,995.0,-0.4,248.0,1.3,2.2,10.0,nähtusteta,nähtusteta,0.0,25.7,01.02.2022,20
-5.8,87.0,995.1,0.0,236.0,1.3,3.6,,nähtusteta,,0.0,24.7,01.02.2022,21
-5.9,87.0,995.2,0.1,220.0,1.4,2.4,,nõrk hooglumi,,0.0,26.1,01.02.2022,22
-6.1,89.0,995.4,0.4,160.0,0.9,2.2,10.0,nähtusteta,hooglumi,0.0,28.3,01.02.2022,23
-6.3,90.0,995.5,0.4,137.0,0.6,1.5,,nõrk hooglumi,,0.0,23.9,02.02.2022,0
-6.2,90.0,995.4,0.2,134.0,1.9,2.4,,nähtusteta,,0.0,20.9,02.02.2022,1
-6.1,87.0,995.8,0.4,239.0,1.5,2.5,10.0,nähtusteta,nähtusteta,0.0,31.9,02.02.2022,2
-6.0,83.0,996.1,0.6,180.0,1.0,2.1,,nähtusteta,,0.0,35.0,02.02.2022,3
-6.2,89.0,996.4,1.0,91.0,1.1,3.1,,nähtusteta,,0.0,25.0,02.02.2022,4
-6.2,87.0,996.7,0.9,216.0,1.1,2.8,10.0,lumi,lumi,0.0,35.0,02.02.2022,5
-6.3,87.0,996.9,0.8,154.0,1.6,2.2,,nõrk hooglumi,,0.0,34.2,02.02.2022,6
-6.1,86.0,997.2,0.8,219.0,0.9,2.8,,nõrk hooglumi,,0.0,35.0,02.02.2022,7
-6.2,89.0,997.8,1.1,134.0,1.4,3.1,10.0,nõrk hooglumi,nõrk hooglumi,0.0,18.8,02.02.2022,8
-6.1,87.0,998.5,1.6,179.0,1.3,2.1,,nõrk lumi,,0.0,24.3,02.02.2022,9
-5.9,88.0,999.4,2.2,200.0,0.8,2.7,,nõrk lumi,,0.0,3.9,02.02.2022,10
-5.8,89.0,1000.0,2.2,231.0,1.4,2.6,10.0,nõrk lumi,nõrk hooglumi,0.0,4.4,02.02.2022,11
-5.4,89.0,1000.5,2.0,234.0,1.3,2.1,,nõrk lumi,,0.1,4.9,02.02.2022,12
-5.1,90.0,1001.1,1.7,235.0,1.2,2.6,,nõrk lumi,,0.3,2.7,02.02.2022,13
-4.9,91.0,1001.5,1.5,249.0,1.3,2.3,10.0,nõrk lumi,nõrk hooglumi,0.1,5.8,02.02.2022,14
-4.8,88.0,1002.1,1.6,237.0,1.4,2.3,,nõrk lumi,,0.1,19.6,02.02.2022,15
-5.0,88.0,1002.9,1.8,213.0,0.9,2.0,,nõrk lumi,,0.0,31.6,02.02.2022,16
-5.1,89.0,1003.8,2.3,236.0,1.1,2.1,10.0,nõrk lumi,nõrk hooglumi,0.0,24.7,02.02.2022,17
-6.1,91.0,1004.5,2.4,203.0,0.9,1.9,,nõrk hooglumi,,0.0,17.2,02.02.2022,18
-6.3,92.0,1005.0,2.1,234.0,1.6,2.4,,nõrk lumi,,0.0,9.2,02.02.2022,19
-5.4,93.0,1005.3,1.5,232.0,2.0,3.1,10.0,nõrk lumi,nõrk hooglumi,0.0,11.0,02.02.2022,20
-5.3,93.0,1005.7,1.2,238.0,1.2,2.9,,nõrk lumi,,0.0,21.7,02.02.2022,21
-5.2,92.0,1006.0,1.0,215.0,1.3,2.6,,nõrk hooglumi,,0.0,22.3,02.02.2022,22
-5.4,94.0,1006.3,1.0,105.0,0.9,2.3,10.0,nõrk hooglumi,nõrk hooglumi,0.0,22.0,02.02.2022,23
-4.6,94.0,1007.5,1.8,325.0,2.2,4.6,,nõrk hooglumi,,0.0,0.68,03.02.2022,0
-4.7,92.0,1007.9,1.9,350.0,1.1,3.4,,nõrk lumi,,1.0,2.0,03.02.2022,1
-4.8,93.0,1008.3,2.0,347.0,1.2,2.5,10.0,nõrk lumi,nõrk hooglumi,0.4,4.8,03.02.2022,2
-5.0,94.0,1009.0,1.5,342.0,0.7,2.9,,nõrk lumi,,0.1,5.5,03.02.2022,3
-5.3,94.0,1009.2,1.3,272.0,0.8,1.4,,nõrk lumi,,0.1,7.7,03.02.2022,4
-5.2,93.0,1009.6,1.3,237.0,1.0,1.7,10.0,nõrk lumi,nõrk hooglumi,0.0,10.5,03.02.2022,5
-5.3,92.0,1010.1,1.1,236.0,1.2,1.8,,nõrk lumi,,0.0,18.8,03.02.2022,6
-6.0,94.0,1010.1,0.9,232.0,0.5,1.7,,lumi,,0.0,22.2,03.02.2022,7
-5.5,93.0,1010.7,1.1,230.0,1.4,2.5,9.0,nõrk hooglumi,nähtusteta,0.0,20.8,03.02.2022,8
-5.6,92.0,1011.1,1.0,211.0,1.0,2.2,,nähtusteta,,0.0,24.6,03.02.2022,9
-5.9,91.0,1011.8,1.7,217.0,1.0,2.0,,nähtusteta,,0.0,20.4,03.02.2022,10
-5.9,88.0,1012.0,1.3,233.0,1.8,2.6,8.0,nähtusteta,nähtusteta,0.0,28.6,03.02.2022,11
-5.6,85.0,1012.2,1.1,236.0,1.8,3.4,,nähtusteta,,0.0,24.2,03.02.2022,12
-4.9,85.0,1012.5,0.7,235.0,1.7,3.2,,nõrk hooglumi,,0.0,17.3,03.02.2022,13
-4.0,84.0,1012.8,0.8,232.0,1.6,3.5,9.0,nõrk lumi,nõrk lumi,0.0,18.3,03.02.2022,14
-3.9,85.0,1012.9,0.7,223.0,1.2,3.3,,nõrk hooglumi,,0.0,24.4,03.02.2022,15
-4.1,88.0,1013.0,0.5,232.0,1.7,2.8,,nõrk hooglumi,,0.0,13.2,03.02.2022,16
-4.2,91.0,1013.3,0.5,209.0,1.1,2.4,10.0,nõrk lumi,nõrk lumi,0.0,13.7,03.02.2022,17
-4.4,92.0,1013.5,0.6,189.0,1.0,1.8,,nõrk lumi,,0.0,12.8,03.02.2022,18
-4.4,93.0,1013.7,0.7,186.0,1.1,2.1,,nõrk lumi,,0.0,10.5,03.02.2022,19
-4.8,92.0,1013.6,0.3,159.0,1.1,2.2,10.0,nõrk lumi,nõrk hooglumi,0.0,16.7,03.02.2022,20
-5.0,93.0,1013.5,0.0,146.0,1.2,2.8,,nõrk hooglumi,,0.0,10.1,03.02.2022,21
-4.8,93.0,1013.5,-0.2,163.0,1.2,2.7,,nõrk lumi,,0.0,21.6,03.02.2022,22
-5.1,92.0,1013.5,-0.1,155.0,2.5,4.0,8.0,nõrk lumi,nõrk hooglumi,0.0,16.8,03.02.2022,23
-5.0,92.0,1013.6,0.1,160.0,2.4,3.8,,nõrk lumi,,0.0,23.1,04.02.2022,0
-4.9,91.0,1013.5,0.0,157.0,3.2,5.1,,nõrk lumi,,0.0,19.6,04.02.2022,1
-4.9,90.0,1013.3,-0.2,157.0,3.2,5.0,7.0,lumi,nähtusteta,0.0,26.8,04.02.2022,2
-5.3,91.0,1012.9,-0.7,178.0,3.0,5.4,,nähtusteta,,0.0,33.9,04.02.2022,3
-5.5,94.0,1012.8,-0.7,172.0,3.1,6.1,,nähtusteta,,0.0,19.7,04.02.2022,4
-5.3,95.0,1012.6,-0.7,162.0,3.6,7.1,10.0,nähtusteta,nähtusteta,0.0,17.2,04.02.2022,5
-5.5,95.0,1012.7,-0.2,171.0,3.2,6.9,,nähtusteta,,0.0,14.6,04.02.2022,6
-6.5,94.0,1012.5,-0.3,160.0,3.7,6.5,,nähtusteta,,0.0,11.9,04.02.2022,7
-6.9,95.0,1012.0,-0.6,158.0,4.8,7.0,10.0,uduvine,nähtusteta,0.0,5.9,04.02.2022,8
-6.3,93.0,1011.3,-1.4,156.0,5.8,8.9,,nähtusteta,,0.0,14.9,04.02.2022,9
-6.0,91.0,1011.3,-1.2,163.0,4.8,9.9,,nähtusteta,,0.0,31.2,04.02.2022,10
-6.2,85.0,1010.8,-1.2,169.0,4.7,10.0,8.0,nähtusteta,nähtusteta,0.0,35.0,04.02.2022,11
-6.5,91.0,1009.7,-1.6,166.0,5.3,9.6,,nähtusteta,,0.0,24.6,04.02.2022,12
-4.4,86.0,1008.6,-2.7,160.0,6.2,11.1,,nõrk lumi,,0.0,24.6,04.02.2022,13
-3.6,83.0,1007.3,-3.5,155.0,6.5,11.0,9.0,nähtusteta,nähtusteta,0.0,31.4,04.02.2022,14
-3.4,81.0,1006.7,-3.0,160.0,5.6,12.0,,nähtusteta,,0.0,35.0,04.02.2022,15
-3.3,81.0,1005.0,-3.6,154.0,7.9,14.2,,nõrk hooglumi,,0.0,10.6,04.02.2022,16
-3.7,86.0,1004.2,-3.1,154.0,7.3,14.0,10.0,nõrk lumi,nõrk hooglumi,0.0,31.6,04.02.2022,17
-3.6,86.0,1003.5,-3.2,163.0,6.1,11.3,,nõrk lumi,,0.0,17.8,04.02.2022,18
-3.5,88.0,1002.4,-2.6,160.0,7.3,12.9,,nõrk lumi,,0.1,13.2,04.02.2022,19
-3.2,88.0,1001.8,-2.4,165.0,6.7,13.4,10.0,lumi,pinnatuisk,0.0,26.6,04.02.2022,20
-3.0,92.0,1001.1,-2.4,169.0,6.0,10.9,,nõrk hooglumi,,0.0,10.0,04.02.2022,21
-3.0,90.0,1000.3,-2.1,168.0,6.2,12.9,,nõrk lumi,,0.0,12.6,04.02.2022,22
-2.8,89.0,999.6,-2.2,168.0,6.2,11.9,10.0,nõrk lumi,nõrk hooglumi,0.0,13.4,04.02.2022,23
-2.4,90.0,998.8,-2.3,163.0,6.0,10.9,,lumi,,0.0,25.7,05.02.2022,0
-2.3,88.0,998.0,-2.3,164.0,6.0,12.5,,nõrk hooglumi,,0.0,17.9,05.02.2022,1
-2.4,89.0,996.9,-2.7,162.0,6.8,13.2,10.0,nõrk lumi,nõrk hooglumi,0.0,10.0,05.02.2022,2
-2.3,88.0,996.3,-2.5,163.0,5.9,11.9,,nõrk lumi,,0.0,6.4,05.02.2022,3
-2.2,89.0,995.3,-2.7,161.0,6.7,12.3,,nõrk lumi,,0.0,9.2,05.02.2022,4
-2.0,89.0,994.2,-2.7,162.0,6.8,12.0,10.0,nõrk lumi,nõrk lumi,0.0,12.3,05.02.2022,5
-1.8,90.0,993.4,-2.9,163.0,6.0,11.1,,nõrk lumi,,0.0,7.0,05.02.2022,6
-1.4,91.0,992.8,-2.5,162.0,6.1,11.3,,nõrk lumi,,0.1,9.6,05.02.2022,7
-1.1,91.0,992.4,-1.8,163.0,6.2,11.4,10.0,nõrk lumi,nõrk hooglumi,0.1,12.3,05.02.2022,8
-0.8,91.0,991.9,-1.5,165.0,5.2,11.5,,nõrk hooglumi,,0.0,24.1,05.02.2022,9
-0.4,91.0,991.7,-1.1,161.0,5.1,9.8,,nõrk hooglumi,,0.0,19.5,05.02.2022,10
-0.1,92.0,991.5,-0.9,164.0,5.2,9.6,10.0,nõrk lumi,nõrk hooglumi,0.1,7.8,05.02.2022,11
0.2,92.0,991.5,-0.4,169.0,3.8,8.6,,nõrk lumi,,0.0,5.7,05.02.2022,12
0.2,95.0,991.6,-0.1,174.0,2.9,6.9,,nõrk lumi,,0.1,2.8,05.02.2022,13
0.3,98.0,991.9,0.4,193.0,2.5,5.0,10.0,nõrk lumi,nõrk lumi,0.3,2.4,05.02.2022,14
0.7,97.0,992.1,0.6,216.0,1.7,3.7,,lumi,,0.1,31.7,05.02.2022,15
1.3,92.0,992.6,1.0,240.0,3.6,6.9,,nähtusteta,,0.0,35.0,05.02.2022,16
1.0,87.0,993.2,1.3,240.0,4.0,7.6,10.0,nõrk vihm koos lumega,nõrk hooglumi,0.0,27.0,05.02.2022,17
0.7,91.0,993.7,1.6,231.0,3.8,5.7,,nõrk hooglumi,,0.0,6.1,05.02.2022,18
0.1,96.0,994.3,1.7,235.0,3.6,5.7,,nõrk lumi,,0.1,3.8,05.02.2022,19
0.3,95.0,994.2,1.0,219.0,2.2,5.9,10.0,nõrk lumi,nõrk hooglumi,0.1,26.2,05.02.2022,20
0.4,93.0,994.3,0.6,210.0,1.8,4.0,,nõrk hoogvihm,,0.0,34.3,05.02.2022,21
0.7,91.0,994.4,0.1,223.0,2.9,5.0,,vihm,,0.0,35.0,05.02.2022,22
0.3,91.0,994.7,0.5,219.0,2.4,5.3,8.0,nähtusteta,nähtusteta,0.0,35.0,05.02.2022,23
-0.4,94.0,994.7,0.4,205.0,1.9,5.2,,nähtusteta,,0.0,35.0,06.02.2022,0
-0.5,95.0,994.6,0.2,214.0,2.1,4.3,,nähtusteta,,0.0,30.9,06.02.2022,1
-0.9,97.0,994.3,-0.4,212.0,2.7,5.6,8.0,nähtusteta,nähtusteta,0.0,19.9,06.02.2022,2
0.3,96.0,993.9,-0.8,221.0,3.4,5.9,,nähtusteta,,0.0,20.8,06.02.2022,3
0.8,95.0,993.7,-0.9,223.0,3.5,6.9,,nähtusteta,,0.0,23.8,06.02.2022,4
0.8,94.0,993.0,-1.3,200.0,3.5,6.8,10.0,nähtusteta,nähtusteta,0.0,25.0,06.02.2022,5
0.7,94.0,992.2,-1.7,198.0,3.8,6.9,,nähtusteta,,0.0,31.0,06.02.2022,6
0.9,93.0,991.4,-2.3,191.0,4.3,7.2,,nähtusteta,,0.0,33.8,06.02.2022,7
1.1,92.0,990.3,-2.7,180.0,3.8,7.5,10.0,nähtusteta,nähtusteta,0.0,25.0,06.02.2022,8
1.3,93.0,989.2,-3.0,168.0,4.5,9.8,,nähtusteta,,0.0,26.8,06.02.2022,9
1.1,95.0,987.8,-3.6,167.0,5.1,9.9,,nõrk hooglumi,,0.2,18.7,06.02.2022,10
1.4,93.0,986.9,-3.4,170.0,5.4,9.8,10.0,nõrk vihm,hooglumi,0.2,31.5,06.02.2022,11
1.2,94.0,985.9,-3.3,176.0,5.3,11.5,,nõrk vihm koos lumega,,0.4,7.1,06.02.2022,12
1.0,94.0,985.5,-2.3,184.0,5.6,10.9,,nõrk lumi,,0.3,5.9,06.02.2022,13
1.1,96.0,985.0,-1.9,188.0,4.0,9.6,10.0,nõrk hoogvihm,nõrk hoogvihm,0.2,14.5,06.02.2022,14
1.5,95.0,984.8,-1.1,196.0,4.3,7.9,,nähtusteta,,0.0,27.1,06.02.2022,15
1.5,96.0,984.4,-1.1,190.0,3.6,7.1,,vihm,,0.0,35.0,06.02.2022,16
1.5,96.0,984.3,-0.7,189.0,3.4,6.7,10.0,nähtusteta,nähtusteta,0.0,35.0,06.02.2022,17
1.1,99.0,984.6,-0.2,188.0,3.5,6.5,,uduvine,,0.0,3.6,06.02.2022,18
0.9,98.0,984.3,-0.1,183.0,2.6,6.1,,nõrk hoogvihm,,0.1,35.0,06.02.2022,19
0.9,96.0,984.6,0.3,201.0,3.0,5.8,10.0,nõrk hoogvihm,nähtusteta,0.0,35.0,06.02.2022,20
0.9,96.0,984.9,0.3,202.0,3.3,6.4,,nähtusteta,,0.0,35.0,06.02.2022,21
1.0,95.0,985.0,0.7,204.0,3.2,6.8,,nähtusteta,,0.0,35.0,06.02.2022,22
0.9,94.0,985.1,0.5,205.0,3.4,5.8,10.0,nähtusteta,nähtusteta,0.0,28.4,06.02.2022,23
0.6,96.0,985.4,0.5,187.0,2.4,5.8,,nähtusteta,,0.0,27.6,07.02.2022,0
0.4,96.0,985.4,0.4,180.0,2.3,5.7,,nähtusteta,,0.0,35.0,07.02.2022,1
0.5,96.0,985.3,0.2,195.0,1.8,4.2,10.0,nähtusteta,nähtusteta,0.0,29.1,07.02.2022,2
0.5,97.0,985.6,0.2,168.0,2.3,5.9,,nähtusteta,,0.0,8.8,07.02.2022,3
0.7,97.0,985.5,0.1,158.0,2.6,4.8,,nähtusteta,,0.0,33.8,07.02.2022,4
0.6,97.0,985.7,0.4,161.0,1.9,4.3,10.0,nähtusteta,nähtusteta,0.0,35.0,07.02.2022,5
0.6,99.0,986.1,0.5,156.0,1.0,3.0,,uduvine,,0.0,3.2,07.02.2022,6
0.3,98.0,986.6,1.1,1.0,0.6,2.7,,nähtusteta,,0.0,12.5,07.02.2022,7
0.6,98.0,986.9,1.2,42.0,0.8,1.9,10.0,nähtusteta,nähtusteta,0.0,19.9,07.02.2022,8
0.7,97.0,987.3,1.2,29.0,1.3,2.0,,nähtusteta,,0.0,16.3,07.02.2022,9
0.8,96.0,987.9,1.3,81.0,1.0,2.6,,nähtusteta,,0.0,14.4,07.02.2022,10
0.3,97.0,989.0,2.1,9.0,1.9,3.9,10.0,uduvine,uduvine,0.0,7.5,07.02.2022,11
0.1,99.0,989.7,2.4,13.0,2.4,4.4,,udu,,0.0,0.28,07.02.2022,12
0.3,99.0,990.4,2.5,3.0,2.0,4.7,,udu,,0.0,4.7,07.02.2022,13
0.5,94.0,991.2,2.2,12.0,2.4,4.6,10.0,nähtusteta,nähtusteta,0.0,34.4,07.02.2022,14
0.6,93.0,992.2,2.5,348.0,2.1,5.0,,nähtusteta,,0.0,35.0,07.02.2022,15
0.2,94.0,993.2,2.8,326.0,2.1,5.0,,nähtusteta,,0.0,35.0,07.02.2022,16
0.1,93.0,994.3,3.1,337.0,1.5,4.4,10.0,nähtusteta,nähtusteta,0.0,34.9,07.02.2022,17
0.1,92.0,995.5,3.3,324.0,2.4,5.2,,nähtusteta,,0.0,33.5,07.02.2022,18
-0.1,96.0,996.4,3.2,321.0,1.5,4.7,,nõrk hooglumi,,0.0,2.3,07.02.2022,19
-0.1,94.0,997.4,3.1,326.0,1.4,4.7,5.0,nõrk hoogvihm,nähtusteta,0.1,35.0,07.02.2022,20
-0.2,96.0,998.0,2.5,298.0,1.6,3.9,,nähtusteta,,0.0,26.2,07.02.2022,21
0.2,93.0,998.8,2.4,307.0,1.9,4.6,,vihm,,0.0,35.0,07.02.2022,22
-0.1,90.0,999.6,2.2,286.0,2.8,5.5,8.0,vihm,nähtusteta,0.0,35.0,07.02.2022,23
-0.1,90.0,1000.4,2.4,308.0,2.0,5.4,,nähtusteta,,0.0,35.0,08.02.2022,0
0.1,89.0,1001.1,2.3,318.0,2.2,5.9,,nähtusteta,,0.0,16.1,08.02.2022,1
0.1,91.0,1001.8,2.2,307.0,1.8,5.4,9.0,vihm,nähtusteta,0.0,35.0,08.02.2022,2
-0.2,88.0,1002.7,2.3,307.0,2.9,6.9,,nähtusteta,,0.0,35.0,08.02.2022,3
-0.5,88.0,1003.3,2.2,300.0,3.4,6.8,,nähtusteta,,0.0,35.0,08.02.2022,4
-1.2,87.0,1004.0,2.2,287.0,2.6,6.4,8.0,nähtusteta,nähtusteta,0.0,35.0,08.02.2022,5
-1.3,87.0,1004.7,2.0,279.0,2.7,6.4,,nähtusteta,,0.0,35.0,08.02.2022,6
-1.4,85.0,1004.4,1.1,267.0,3.4,6.1,,nähtusteta,,0.0,35.0,08.02.2022,7
-1.8,88.0,1004.1,0.1,243.0,1.8,6.7,8.0,nähtusteta,nähtusteta,0.0,35.0,08.02.2022,8
-2.1,90.0,1003.7,-1.0,194.0,2.0,3.0,,nähtusteta,,0.0,35.0,08.02.2022,9
-1.9,89.0,1003.2,-1.2,209.0,2.1,3.9,,nähtusteta,,0.0,35.0,08.02.2022,10
-1.0,88.0,1002.2,-1.9,202.0,3.0,5.0,9.0,nähtusteta,nähtusteta,0.0,35.0,08.02.2022,11
-0.1,86.0,1001.3,-2.4,201.0,3.0,5.8,,nähtusteta,,0.0,35.0,08.02.2022,12
0.5,81.0,1000.4,-2.8,177.0,3.2,6.2,,nähtusteta,,0.0,35.0,08.02.2022,13
0.8,83.0,999.3,-2.9,188.0,4.5,8.1,10.0,nõrk lumi,nõrk lumi,0.0,35.0,08.02.2022,14
0.3,95.0,998.1,-3.2,163.0,3.9,7.6,,nõrk lumi,,0.1,4.8,08.02.2022,15
0.1,98.0,997.1,-3.3,161.0,4.3,8.2,,nõrk lumi,,0.5,2.9,08.02.2022,16
0.1,98.0,996.3,-3.0,165.0,4.1,8.4,10.0,nõrk vihm koos lumega,nõrk lumi,0.5,8.7,08.02.2022,17
0.3,98.0,996.2,-1.9,173.0,3.2,8.1,,nõrk lumi,,0.1,5.1,08.02.2022,18
0.4,98.0,996.2,-0.9,181.0,2.6,5.6,,nõrk vihm,,0.0,7.2,08.02.2022,19
0.4,98.0,996.7,0.4,211.0,2.0,5.4,10.0,nõrk lumi,nõrk hoogvihm lumega,0.1,3.4,08.02.2022,20
0.5,98.0,997.3,1.1,231.0,2.7,4.1,,nõrk vihm,,0.3,22.3,08.02.2022,21
0.6,99.0,998.4,2.2,293.0,2.8,5.9,,nähtusteta,,0.0,35.0,08.02.2022,22
0.6,96.0,999.8,3.1,307.0,3.6,7.5,10.0,nähtusteta,nähtusteta,0.0,35.0,08.02.2022,23
0.8,90.0,1000.8,3.5,311.0,4.0,8.9,,nähtusteta,,0.0,35.0,09.02.2022,0
0.1,95.0,1001.9,3.5,287.0,2.3,5.2,,nähtusteta,,0.0,35.0,09.02.2022,1
-0.2,96.0,1002.8,3.0,248.0,2.1,5.5,6.0,nähtusteta,nähtusteta,0.0,35.0,09.02.2022,2
-1.0,98.0,1003.3,2.5,241.0,2.2,3.6,,nähtusteta,,0.0,35.0,09.02.2022,3
-1.1,98.0,1003.9,2.0,217.0,1.8,3.4,,nähtusteta,,0.0,34.0,09.02.2022,4
-0.7,96.0,1004.1,1.3,226.0,3.4,5.6,0.0,nähtusteta,nähtusteta,0.0,35.0,09.02.2022,5
-0.8,97.0,1004.5,1.2,234.0,2.6,5.9,,nähtusteta,,0.0,35.0,09.02.2022,6
-1.1,97.0,1004.6,0.7,221.0,2.0,5.3,,nähtusteta,,0.0,35.0,09.02.2022,7
-1.8,98.0,1004.5,0.4,220.0,1.8,3.2,2.0,nähtusteta,nähtusteta,0.0,23.7,09.02.2022,8
-1.7,99.0,1004.6,0.1,212.0,2.2,4.1,,udu,,0.0,1.3,09.02.2022,9
-1.2,98.0,1004.6,0.0,196.0,2.7,4.8,,nähtusteta,,0.0,19.4,09.02.2022,10
-0.6,96.0,1004.3,-0.2,200.0,3.2,5.0,8.0,nähtusteta,nähtusteta,0.0,31.6,09.02.2022,11
0.2,95.0,1003.8,-0.8,207.0,3.3,5.9,,nähtusteta,,0.0,29.6,09.02.2022,12
1.1,94.0,1003.3,-1.3,200.0,4.1,7.4,,nähtusteta,,0.0,30.4,09.02.2022,13
1.7,92.0,1002.8,-1.5,219.0,3.4,7.4,10.0,nähtusteta,nähtusteta,0.0,33.1,09.02.2022,14
2.1,90.0,1002.3,-1.5,222.0,4.3,8.7,,nähtusteta,,0.0,23.2,09.02.2022,15
2.4,89.0,1001.5,-1.8,222.0,4.5,9.3,,nähtusteta,,0.0,26.1,09.02.2022,16
2.3,91.0,1000.6,-2.2,212.0,3.7,7.5,10.0,nähtusteta,nähtusteta,0.0,26.4,09.02.2022,17
2.3,89.0,999.4,-2.9,208.0,4.1,7.8,,nähtusteta,,0.0,26.2,09.02.2022,18
1.7,95.0,998.4,-3.1,207.0,4.3,8.4,,nõrk vihm,,0.3,22.3,09.02.2022,19
1.7,94.0,997.2,-3.4,214.0,4.1,8.2,10.0,nõrk vihm koos lumega,mõõdukas vihm,0.8,8.4,09.02.2022,20
1.4,96.0,996.4,-3.0,224.0,4.1,7.7,,nõrk vihm koos lumega,,2.3,8.4,09.02.2022,21
3.0,91.0,996.3,-2.1,249.0,6.4,11.4,,vihm,,0.3,35.0,09.02.2022,22
2.9,90.0,996.7,-0.5,252.0,5.8,9.8,9.0,nähtusteta,nähtusteta,0.0,32.6,09.02.2022,23
3.0,86.0,997.1,0.7,264.0,6.4,11.8,,nähtusteta,,0.0,35.0,10.02.2022,0
2.7,85.0,997.7,1.4,266.0,5.8,11.1,,nähtusteta,,0.0,35.0,10.02.2022,1
2.2,85.0,998.3,1.6,265.0,5.6,11.0,3.0,nähtusteta,nähtusteta,0.0,35.0,10.02.2022,2
2.2,82.0,999.2,2.1,267.0,5.2,10.6,,nähtusteta,,0.0,35.0,10.02.2022,3
1.7,82.0,999.6,1.9,262.0,4.3,10.4,,nähtusteta,,0.0,35.0,10.02.2022,4
1.3,82.0,1000.0,1.7,256.0,4.0,9.0,0.0,nähtusteta,selge,0.0,35.0,10.02.2022,5
0.6,85.0,1000.2,1.0,227.0,3.1,7.6,,nähtusteta,,0.0,35.0,10.02.2022,6
0.2,86.0,1000.6,1.0,225.0,3.3,6.2,,nähtusteta,,0.0,35.0,10.02.2022,7
0.0,88.0,1000.4,0.4,219.0,2.0,6.6,1.0,nähtusteta,nähtusteta,0.0,35.0,10.02.2022,8
0.0,88.0,1000.3,0.1,223.0,3.9,7.1,,nähtusteta,,0.0,35.0,10.02.2022,9
0.7,86.0,1000.5,-0.1,229.0,4.9,8.3,,nähtusteta,,0.0,35.0,10.02.2022,10
1.6,83.0,1000.4,0.0,234.0,5.4,9.4,9.0,nähtusteta,nähtusteta,0.0,35.0,10.02.2022,11
