coordinates,distance_m,duration_s,status
"('59.46919, 24.90281', '59.46954, 24.90891')",625,59,OK
"('59.43232, 24.81973', '59.43291, 24.82476')",292,35,OK
"('59.4385, 24.77155', '59.43726, 24.75833')",2323,511,OK
"('59.38242, 24.63829', '59.39049, 24.6424')",927,86,OK
"('59.41132, 24.68821', '59.41759, 24.69394')",770,87,OK
"('59.42686, 24.82142', '59.42945, 24.83745')",967,201,OK
"('59.4362, 24.72806', '59.43609, 24.72016')",607,81,OK
"('59.4263, 24.86749', '59.42839, 24.86964')",345,35,OK
"('59.43337, 24.6309', '59.43087, 24.63869')",524,40,OK
"('59.35044, 24.62691', '59.34184, 24.6157')",1159,107,OK
"('59.41593, 24.60122', '59.41796, 24.58739')",904,82,OK
"('59.42828, 24.7767', '59.4273, 24.77888')",875,194,OK
"('59.37943, 24.67528', '59.38305, 24.67247')",433,53,OK
"('59.41335, 24.74839', '59.41278, 24.75255')",321,69,OK
"('59.43635, 24.84596', '59.43465, 24.83473')",663,71,OK
"('59.49711, 24.82865', '59.50619, 24.82979')",1070,98,OK
"('59.39804, 24.67523', '59.39991, 24.67195')",428,43,OK
"('59.38434, 24.71738', '59.37989, 24.71748')",495,34,OK
"('59.43985, 24.70941', '59.44085, 24.71325')",246,31,OK
"('59.46954, 24.90891', '59.47323, 24.91341')",506,36,OK
"('59.42459, 24.71737', '59.42747, 24.72195')",441,68,OK
"('59.41224, 24.63969', '59.41319, 24.63446')",556,82,OK
"('59.43352, 24.75195', '59.43319, 24.76136')",855,275,OK
"('59.44932, 24.6976', '59.44592, 24.70108')",425,56,OK
"('59.4281, 24.62591', '59.42645, 24.63231')",3208,319,OK
"('59.41978, 24.71316', '59.42459, 24.71737')",586,47,OK
"('59.35563, 24.63056', '59.35347, 24.62933')",252,23,OK
"('59.48142, 24.93275', '59.47919, 24.92417')",571,46,OK
"('59.44365, 24.84685', '59.44422, 24.8393')",478,47,OK
"('59.46088, 24.90639', '59.45452, 24.88412')",1676,130,OK
"('59.45993, 24.70436', '59.46985, 24.71721')",1411,155,OK
"('59.39998, 24.72803', '59.41449, 24.76057')",2548,151,OK
"('59.37443, 24.71784', '59.37162, 24.71713')",316,29,OK
"('59.43353, 24.86593', '59.43644, 24.85806')",724,86,OK
"('59.36528, 24.63133', '59.36, 24.62988')",649,71,OK
"('59.45511, 24.68961', '59.45306, 24.70464')",2857,351,OK
"('59.36864, 24.63692', '59.36567, 24.62951')",766,71,OK
"('59.42686, 24.82142', '59.42949, 24.84058')",1252,138,OK
"('59.46193, 24.8748', '59.45691, 24.88023')",803,106,OK
"('59.45803, 24.86239', '59.45995, 24.86971')",466,48,OK
"('59.3562, 24.61096', '59.35149, 24.61049')",654,76,OK
"('59.40005, 24.65946', '59.39761, 24.66328')",376,60,OK
"('59.38458, 24.6732', '59.38131, 24.6634')",663,69,OK
"('59.43563, 24.7583', '59.43299, 24.74721')",727,112,OK
"('59.43388, 24.74661', '59.43576, 24.75095')",334,47,OK
"('59.41944, 24.64545', '59.41683, 24.6526')",538,63,OK
"('59.41224, 24.63969', '59.41375, 24.64023')",258,37,OK
"('59.45745, 24.8119', '59.46075, 24.81995')",600,40,OK
"('59.42898, 24.70719', '59.42987, 24.69144')",901,90,OK
"('59.47294, 24.91241', '59.46943, 24.90873')",456,32,OK
"('59.38569, 24.71223', '59.38828, 24.71926')",490,47,OK
"('59.47168, 24.72063', '59.46926, 24.71643')",362,55,OK
"('59.40267, 24.61327', '59.40517, 24.61643')",331,55,OK
"('59.40234, 24.7185', '59.41449, 24.76057')",2854,152,OK
"('59.41402, 24.65407', '59.40614, 24.6519')",2088,238,OK
"('59.43018, 24.65139', '59.42676, 24.655')",495,64,OK
"('59.37293, 24.6646', '59.37016, 24.65737')",512,39,OK
"('59.40907, 24.62967', '59.41224, 24.63969')",904,106,OK
"('59.43437, 24.75576', '59.43368, 24.75282')",188,48,OK
"('59.45969, 24.5729', '59.45914, 24.57318')",509,114,OK
"('59.42043, 24.64478', '59.42415, 24.64332')",725,98,OK
"('59.47109, 24.8357', '59.47462, 24.83804')",416,36,OK
"('59.37791, 24.71786', '59.38028, 24.7177')",264,20,OK
"('59.47256, 24.88489', '59.47414, 24.89703')",782,64,OK
"('59.43386, 24.75259', '59.43323, 24.74397')",549,98,OK
"('59.40275, 24.69749', '59.39976, 24.68885')",606,57,OK
"('59.44029, 24.80691', '59.43799, 24.80207')",375,32,OK
"('59.40469, 24.6342', '59.40494, 24.62722')",425,66,OK
"('59.47364, 24.83701', '59.47034, 24.83491')",567,85,OK
"('59.38976, 24.71077', '59.38869, 24.70372')",418,33,OK
"('59.42646, 24.80806', '59.42681, 24.81464')",2350,351,OK
"('59.37926, 24.63703', '59.37611, 24.64903')",886,100,OK
"('59.38305, 24.67247', '59.38438, 24.67297')",231,36,OK
"('59.4391, 24.77716', '59.44098, 24.78701')",596,60,OK
"('59.41382, 24.68993', '59.41066, 24.687')",389,40,OK
"('59.47414, 24.89703', '59.48102, 24.89007')",872,59,OK
"('59.4126, 24.66862', '59.41168, 24.66345')",381,59,OK
"('59.49074, 24.87911', '59.48837, 24.87088')",534,46,OK
"('59.43219, 24.78226', '59.43473, 24.79915')",1065,80,OK
"('59.42466, 24.74269', '59.42889, 24.74334')",511,126,OK
"('59.39969, 24.64591', '59.39423, 24.64384')",619,57,OK
"('59.40176, 24.66069', '59.40466, 24.65491')",575,101,OK
"('59.41281, 24.63785', '59.40893, 24.63229')",808,114,OK
"('59.40836, 24.70411', '59.41259, 24.70873')",609,63,OK
"('59.4545, 24.95757', '59.45651, 24.94503')",745,55,OK
"('59.43563, 24.7583', '59.43321, 24.74426')",903,141,OK
"('59.38219, 24.63807', '59.37926, 24.63703')",352,36,OK
"('59.40695, 24.64037', '59.40614, 24.6519')",776,76,OK
"('59.44635, 24.88588', '59.44503, 24.87747')",505,59,OK
"('59.47406, 24.83858', '59.47951, 24.85093')",991,82,OK
"('59.43291, 24.82476', '59.43495, 24.83821')",795,111,OK
"('59.44953, 24.88037', '59.44946, 24.8682')",702,84,OK
"('59.4362, 24.611', '59.43648, 24.60096')",641,54,OK
"('59.4299, 24.78632', '59.42806, 24.79187')",371,61,OK
"('59.45866, 24.85079', '59.45917, 24.84627')",262,19,OK
"('59.44475, 24.88949', '59.44588, 24.8981')",553,43,OK
"('59.42893, 24.75874', '59.42781, 24.76492')",381,40,OK
"('59.45235, 24.69316', '59.44932, 24.6976')",420,40,OK
"('59.40574, 24.71013', '59.41165, 24.71574')",730,75,OK
"('59.41224, 24.63969', '59.41102, 24.64775')",480,56,OK
"('59.43398, 24.76995', '59.43951, 24.83268')",3793,249,OK
"('59.38717, 24.64105', '59.38219, 24.63807')",603,61,OK
"('59.43054, 24.83457', '59.43495, 24.83821')",816,86,OK
"('59.39902, 24.7057', '59.39695, 24.69906')",747,70,OK
"('59.43182, 24.76779', '59.42828, 24.7767')",1425,249,OK
"('59.43011, 24.80735', '59.43199, 24.814')",475,49,OK
"('59.45262, 24.88976', '59.45066, 24.89783')",507,52,OK
"('59.40176, 24.66069', '59.40103, 24.6581')",283,53,OK
"('59.44077, 24.7533', '59.43756, 24.75337')",600,125,OK
"('59.43374, 24.72367', '59.42934, 24.72501')",504,54,OK
"('59.42984, 24.80634', '59.42629, 24.79754')",703,90,OK
"('59.42945, 24.69915', '59.42987, 24.69144')",438,33,OK
"('59.45979, 24.67187', '59.46105, 24.66963')",201,20,OK
"('59.4346, 24.75235', '59.43531, 24.75867')",397,88,OK
"('59.43148, 24.73952', '59.43281, 24.74713')",502,102,OK
"('59.43746, 24.76375', '59.4374, 24.75819')",316,61,OK
"('59.42667, 24.81591', '59.42686, 24.82142')",312,26,OK
"('59.43568, 24.81225', '59.43794, 24.81773')",458,60,OK
"('59.43535, 24.75839', '59.43398, 24.76995')",999,216,OK
"('59.42415, 24.64332', '59.42655, 24.63247')",673,57,OK
"('59.40517, 24.61643', '59.4076, 24.62296')",555,101,OK
"('59.43251, 24.74267', '59.43352, 24.75195')",590,118,OK
"('59.37618, 24.64985', '59.37868, 24.65534')",421,32,OK
"('59.42547, 24.78186', '59.42416, 24.78808')",411,65,OK
"('59.42898, 24.70719', '59.42945, 24.69915')",463,56,OK
"('59.40794, 24.8109', '59.40628, 24.81604')",420,59,OK
"('59.48074, 24.84042', '59.47364, 24.83701')",1456,133,OK
"('59.43807, 24.80239', '59.44073, 24.80795')",432,35,OK
"('59.44169, 24.85114', '59.44365, 24.84685')",429,56,OK
"('59.40482, 24.6769', '59.40308, 24.68743')",649,97,OK
"('59.4165, 24.67841', '59.4201, 24.6835')",538,54,OK
"('59.4562, 24.94652', '59.45438, 24.95753')",656,47,OK
"('59.40767, 24.62284', '59.41271, 24.60674')",1188,111,OK
