weigth,x,y,weigth_class
17,59.412506510562,24.655957934323,11
3,59.412462326351,24.664762284304,3
4,59.412417553067,24.673566611378,4
11,59.412372190712,24.682370915243,11
7,59.412326239288,24.691175195596,7
1,59.412279698799,24.699979452132,1
15,59.412232569245,24.708783684549,11
1,59.41218485063,24.717587892543,1
1,59.412136542956,24.726392075812,1
8,59.412087646225,24.735196234052,8
3,59.41203816044,24.744000366959,3
1,59.411988085604,24.752804474231,1
1,59.413837662688,24.818888173238,1
1,59.413726903152,24.83649705438,1
18,59.417081067494,24.638432968615,11
4,59.417038055865,24.647238519187,4
2,59.416994455081,24.65604404745,2
15,59.416814160453,24.691265931352,11
1,59.416767613934,24.700071343522,1
2,59.416720478275,24.708876731563,2
10,59.416672753478,24.717682095173,10
7,59.416624439546,24.726487434046,7
6,59.41657553648,24.735292747881,6
13,59.416216719517,24.796929218155,11
1,59.416163103481,24.805734320758,1
1,59.415886186717,24.849759411173,1
1,59.421569015438,24.638516792379,1
2,59.421525998236,24.647323498942,2
2,59.421482391804,24.656130183189,2
2,59.421348037147,24.68255009899,2
1,59.421302073817,24.691356690933,1
13,59.421255521267,24.70016325904,11
1,59.4212083795,24.70896980301,1
2,59.42116064852,24.717776322537,2
2,59.421112328328,24.72658281732,2
10,59.421063418927,24.735389287053,10
7,59.421013920319,24.744195731435,7
2,59.420963832507,24.75300215016,2
1,59.420861889281,24.77061490943,1
61,59.420704555475,24.797033848331,16
1,59.420650932493,24.80584010675,1
1,59.420486528443,24.832258714113,1
1,59.422356005588,24.889556527663,1
1,59.426099389027,24.629792753274,1
2,59.42605695556,24.638600638156,2
28,59.426013932784,24.647408501015,12
14,59.425970320701,24.656216341549,11
8,59.425743420768,24.700255198697,8
1,59.425696272893,24.709062898898,1
15,59.425648535728,24.717870574647,11
56,59.425600209275,24.726678225642,15
11,59.425551293537,24.735485851578,11
25,59.425501788515,24.744293452151,12
10,59.425451694213,24.753101027059,10
7,59.425401010633,24.761908575997,7
22,59.425349737778,24.770716098662,12
24,59.42529787565,24.779523594751,12
9,59.425245424252,24.788331063959,9
30,59.425192383587,24.797138505984,12
1,59.425138753657,24.805945920522,1
2,59.425029726013,24.823560665921,2
1,59.424974328306,24.832367996175,1
1,59.424861765132,24.849982570276,1
2,59.430587326797,24.629875464466,2
1,59.430544887831,24.638684505956,1
2,59.43050185948,24.647493525414,2
1,59.430323852268,24.682729376862,1
5,59.430277877025,24.691538281609,5
10,59.43023131241,24.700347162502,10
